дата: 18.12.2023 17:47:51 	 ошибка: дискриминант меньше нуля 	 версия приложения:1.0.0.0

дата: 18.12.2023 17:49:01 	 ошибка: дискриминант меньше нуля 	 версия приложения:1.0.0.0

дата: 18.12.2023 17:49:13 	 Файл 'C:\Users\PC\Desktop\Study\TestLog\TestLog\bin\Debug\test.txt' не найден. 	 версия приложения:1.0.0.0

дата: 18.12.2023 17:49:49 	 Файл 'C:\Users\PC\Desktop\Study\TestLog\TestLog\bin\Debug\test.txt' не найден. 	 версия приложения:1.0.0.0

дата: 18.12.2023 17:49:56 	 Файл 'C:\Users\PC\Desktop\Study\TestLog\TestLog\bin\Debug\test.txt' не найден. 	 версия приложения:1.0.0.0

дата: 18.12.2023 17:50:20 	 Файл 'C:\Users\PC\Desktop\Study\TestLog\TestLog\bin\Debug\test.txt' не найден. 	 версия приложения:1.0.0.0

дата: 18.12.2023 17:50:39 	 ошибка: дискриминант меньше нуля 	 версия приложения:1.0.0.0

дата: 18.12.2023 17:51:05 	 ошибка: дискриминант меньше нуля 	 версия приложения:1.0.0.0

дата: 18.12.2023 17:51:13 	 ошибка: дискриминант меньше нуля 	 версия приложения:1.0.0.0

дата: 19.12.2023 13:09:36 	 Входная строка имела неверный формат. 	 версия приложения:1.0.0.0

дата: 19.12.2023 13:10:04 	 Входная строка имела неверный формат. 	 версия приложения:1.0.0.0

дата: 19.12.2023 13:10:21 	 ошибка: дискриминант меньше нуля 	 версия приложения:1.0.0.0

дата: 19.12.2023 13:14:49 	 ошибка: дискриминант меньше нуля 	 версия приложения:1.0.0.0

дата: 19.12.2023 13:15:18 	 Входная строка имела неверный формат. 	 версия приложения:1.0.0.0

дата: 19.12.2023 13:15:18 	 Входная строка имела неверный формат. 	 версия приложения:1.0.0.0

дата: 19.12.2023 13:15:53 	 Входная строка имела неверный формат. 	 версия приложения:1.0.0.0

дата: 19.12.2023 13:15:53 	 Входная строка имела неверный формат. 	 версия приложения:1.0.0.0

дата: 19.12.2023 13:16:36 	 ошибка: дискриминант меньше нуля 	 версия приложения:1.0.0.0

дата: 19.12.2023 13:16:44 	 Входная строка имела неверный формат. 	 версия приложения:1.0.0.0

дата: 19.12.2023 13:16:44 	 Входная строка имела неверный формат. 	 версия приложения:1.0.0.0

